quantity,bootstrap_mean,ci_low,ci_high,ci_low_first_half,ci_high_first_half
difference|probabilistic_grid_pattern_retrieval|last_observed_point|0.75,0.20530846231222327,0.13333313420602344,0.27895578734010607,0.13591323350527504,0.2794316255413688
primary_mean_difference|probabilistic_grid_pattern_retrieval|last_observed_point,0.2662493839169171,0.19933664068348503,0.3344470599593456,0.20070011818552455,0.3353092845385015
interaction75_25|probabilistic_grid_pattern_retrieval|last_observed_point,-0.13495391429802941,-0.20993182572117583,-0.0672133495264989,-0.20991871929648506,-0.06661750310407946
difference|probabilistic_grid_pattern_retrieval|current_position_only_personal_retrieval|0.25,0.09183384469586456,0.05172809180581222,0.1332813219054538,0.052003902644890986,0.1340241068883096
difference|probabilistic_grid_pattern_retrieval|current_position_only_personal_retrieval|0.50,0.10220415648268485,0.05617599613787093,0.15070115073551024,0.05657705418560767,0.15089000278083373
difference|probabilistic_grid_pattern_retrieval|current_position_only_personal_retrieval|0.66,0.0669441547307515,0.022795622561405597,0.11516302803905286,0.022753459491136423,0.11646499951047251
difference|probabilistic_grid_pattern_retrieval|current_position_only_personal_retrieval|0.75,0.02828553274190559,-0.012848953013576556,0.06943060207315399,-0.012077834400135162,0.06980165737681304
primary_mean_difference|probabilistic_grid_pattern_retrieval|current_position_only_personal_retrieval,0.07231692216280163,0.042487044921959156,0.1036880120298471,0.042823543107986604,0.10354006573708424
interaction75_25|probabilistic_grid_pattern_retrieval|current_position_only_personal_retrieval,-0.06354831195395898,-0.11806814740329549,-0.01065711621281251,-0.11794702636039206,-0.011077361535219593
difference|tsmini|recurrent|0.25,-0.036408280237120484,-0.06810735341062842,-0.0050214733338045745,-0.06765695132658862,-0.005165513204839981
difference|tsmini|recurrent|0.50,-0.04414326661959623,-0.076283171513125,-0.011881731992827257,-0.07533632643454267,-0.012456033040363265
difference|tsmini|recurrent|0.66,-0.032580081409546276,-0.06267862613292512,-0.001369524462006871,-0.062112461825940726,-0.0012072834527808497
difference|tsmini|recurrent|0.75,-0.028687086207848246,-0.05736778792930977,0.001478191540164259,-0.05739794199442609,0.001551501740023169
primary_mean_difference|tsmini|recurrent,-0.03545467861852781,-0.06231473591547022,-0.008017898727622267,-0.061649076509887074,-0.008176894943296676
interaction75_25|tsmini|recurrent,0.007721194029272235,-0.02190770065537653,0.0374108615900763,-0.02196893104776997,0.03727605600810489
difference|tsmini|most_frequent_personal_destination|0.25,-0.0015203926905504514,-0.06106900143102456,0.05782209482987657,-0.05964307477571129,0.05659827732642401
