analysis,metric,quantity,first_method,second_method,ratio_or_change,observed,ci_low,ci_high
held_out_point_count,within_200m,rate,grid_last_state_only,,0.75,53.724884228637436,47.212596624827995,60.34160240713821
held_out_point_count,within_200m,mean_rate,grid_last_state_only,,mean,47.14910297491893,41.18660515432181,53.281197179528725
held_out_point_count,within_200m,paired_difference,grid_full_prefix,grid_last_state_only,0.25,7.598597919221644,4.025300169937127,11.52258474602114
held_out_point_count,within_200m,paired_difference,grid_full_prefix,grid_last_state_only,0.50,5.234061589114808,0.6932561465153099,9.768395955630687
held_out_point_count,within_200m,paired_difference,grid_full_prefix,grid_last_state_only,0.66,0.24069898034227988,-2.855458242511209,3.320150653421496
held_out_point_count,within_200m,paired_difference,grid_full_prefix,grid_last_state_only,0.75,-1.2350328805835198,-4.605535739944377,1.6450332929894924
held_out_point_count,within_200m,mean_difference,grid_full_prefix,grid_last_state_only,mean,2.959581402023803,0.6671503752608203,5.2191060143703
held_out_point_count,within_200m,difference_in_change,grid_full_prefix,grid_last_state_only,75_minus_25,-8.833630799805164,-14.379342486885875,-3.9361090366764846
held_out_point_count_dbscan_membership,hit_r90_all,rate,grid_full_prefix,,0.25,42.38247174715547,35.6051804226932,49.39440272534633
held_out_point_count_dbscan_membership,hit_r90_all,rate,grid_full_prefix,,0.50,43.59674249505073,37.044031034072965,50.369980776810095
held_out_point_count_dbscan_membership,hit_r90_all,rate,grid_full_prefix,,0.66,45.703242013512074,39.10049368603114,52.38834580658326
held_out_point_count_dbscan_membership,hit_r90_all,rate,grid_full_prefix,,0.75,46.92772508538962,40.52430019215133,53.480280545489826
held_out_point_count_dbscan_membership,hit_r90_all,mean_rate,grid_full_prefix,,mean,44.652545335276976,38.26368103687993,51.26247167475474
held_out_point_count_dbscan_membership,hit_r90_all,rate,grid_last_state_only,,0.25,36.17893864688105,29.909559999721186,43.021065033697546
held_out_point_count_dbscan_membership,hit_r90_all,rate,grid_last_state_only,,0.50,38.66813865075934,32.588308789069906,45.16280353863172
held_out_point_count_dbscan_membership,hit_r90_all,rate,grid_last_state_only,,0.66,46.055069480838654,39.546554213618165,52.51803060576547
held_out_point_count_dbscan_membership,hit_r90_all,rate,grid_last_state_only,,0.75,48.192573184962974,41.74225611077763,54.85066607948874
held_out_point_count_dbscan_membership,hit_r90_all,mean_rate,grid_last_state_only,,mean,42.27367999086051,36.29988198102323,48.49331043294011
held_out_point_count_dbscan_membership,hit_r90_all,paired_difference,grid_full_prefix,grid_last_state_only,0.25,6.2035331002744165,2.3894847028154445,10.369264838617479
held_out_point_count_dbscan_membership,hit_r90_all,paired_difference,grid_full_prefix,grid_last_state_only,0.50,4.92860384429139,0.6030974437415074,9.288768156487778
held_out_point_count_dbscan_membership,hit_r90_all,paired_difference,grid_full_prefix,grid_last_state_only,0.66,-0.351827467326582,-2.9445998469743424,2.1476927885697763
held_out_point_count_dbscan_membership,hit_r90_all,paired_difference,grid_full_prefix,grid_last_state_only,0.75,-1.2648480995733513,-4.110726736158815,0.9501839430835913
held_out_point_count_dbscan_membership,hit_r90_all,mean_difference,grid_full_prefix,grid_last_state_only,mean,2.3788653444164685,0.17893256793691256,4.539069369635644
held_out_point_count_dbscan_membership,hit_r90_all,difference_in_change,grid_full_prefix,grid_last_state_only,75_minus_25,-7.468381199847768,-12.851745354879432,-2.673111285056905
held_out_quality_point_count,hit_r90_all,rate,grid_full_prefix,,0.25,47.191526245867095,38.53625018320247,55.7918735369171
held_out_quality_point_count,hit_r90_all,rate,grid_full_prefix,,0.50,47.942762378619086,39.511579030131436,56.465015573755345
held_out_quality_point_count,hit_r90_all,rate,grid_full_prefix,,0.66,50.31722282648613,41.80437998731717,58.80947935977719
held_out_quality_point_count,hit_r90_all,rate,grid_full_prefix,,0.75,51.24418315440089,42.673926341933985,59.57433556917551
held_out_quality_point_count,hit_r90_all,mean_rate,grid_full_prefix,,mean,49.1739236513433,40.73223663104732,57.495290920522606
held_out_quality_point_count,hit_r90_all,rate,grid_last_state_only,,0.25,36.32195585936466,28.660452911433737,44.36335252015819
held_out_quality_point_count,hit_r90_all,rate,grid_last_state_only,,0.50,38.995754454531365,31.73228010552495,46.58533359618929
held_out_quality_point_count,hit_r90_all,rate,grid_last_state_only,,0.66,49.906995971586674,41.78901705844273,57.96773455367815
held_out_quality_point_count,hit_r90_all,rate,grid_last_state_only,,0.75,51.96878296586345,43.63715176162623,60.189411163004316
held_out_quality_point_count,hit_r90_all,mean_rate,grid_last_state_only,,mean,44.298372312836534,37.34531128268904,51.47866923708149
held_out_quality_point_count,hit_r90_all,paired_difference,grid_full_prefix,grid_last_state_only,0.25,10.869570386502437,4.633850714275052,18.631636107851925
held_out_quality_point_count,hit_r90_all,paired_difference,grid_full_prefix,grid_last_state_only,0.50,8.947007924087725,2.8786152052811644,16.208987713121786
held_out_quality_point_count,hit_r90_all,paired_difference,grid_full_prefix,grid_last_state_only,0.66,0.41022685489945365,-1.7983784438681127,3.0664385186350476
held_out_quality_point_count,hit_r90_all,paired_difference,grid_full_prefix,grid_last_state_only,0.75,-0.7245998114625563,-2.88723403383787,1.1617882641863944
held_out_quality_point_count,hit_r90_all,mean_difference,grid_full_prefix,grid_last_state_only,mean,4.875551338506764,1.860897946061658,8.580866712055084
held_out_quality_point_count,hit_r90_all,difference_in_change,grid_full_prefix,grid_last_state_only,75_minus_25,-11.594170197964992,-19.54024519268948,-5.048086250176657
expanded46_point_count,hit_r90_all,rate,grid_full_prefix,,0.25,42.79068190134528,37.0201172658043,49.079060618894935
expanded46_point_count,hit_r90_all,rate,grid_full_prefix,,0.50,43.78088009200194,38.049092782439956,49.87144030742722
expanded46_point_count,hit_r90_all,rate,grid_full_prefix,,0.66,46.16848956028463,40.45087587545063,52.28971536106575
expanded46_point_count,hit_r90_all,rate,grid_full_prefix,,0.75,47.45641733733606,41.79135557229514,53.58389066909832
expanded46_point_count,hit_r90_all,mean_rate,grid_full_prefix,,mean,45.04911722274198,39.531447295036585,51.03419228556237
expanded46_point_count,hit_r90_all,rate,grid_last_state_only,,0.25,36.720193504194754,31.05459516941701,42.99051926492599
expanded46_point_count,hit_r90_all,rate,grid_last_state_only,,0.50,38.49889063196139,33.09742356960076,44.22039669944122
