catalog_eps_m,method,seed,ratio,user_id,n,coverage_r80,coverage_r90,coverage_r95,hit_r80,hit_r90,hit_r95,hit_fixed_200m,within_200m,within_1000m,median_error_m,p90_error_m,native_within_200m,native_within_1000m,native_median_error_m,native_p90_error_m,median_query_runtime_ms
100.0,recurrent,20260723,0.25,147,20,0.5,0.7,0.75,0.1,0.2,0.2,0.2,0.2,0.2,2342.836370207399,4285.003491395503,0.2,0.2,2342.836370207399,4285.003491395503,
100.0,recurrent,20260723,0.25,168,24,0.375,0.7083333333333334,0.7916666666666666,0.3333333333333333,0.6666666666666666,0.75,0.875,0.9166666666666666,0.9166666666666666,32.800941413938645,131.62384978025946,0.9166666666666666,0.9166666666666666,32.800941413938645,131.62384978025946,
100.0,recurrent,20260723,0.25,179,18,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.16666666666666666,9686.253702844566,10658.765485983235,0.1111111111111111,0.16666666666666666,9686.253702844566,10658.765485983235,
100.0,recurrent,20260723,0.5,0,40,0.425,0.625,0.625,0.2,0.3,0.3,0.3,0.325,0.475,1001.1928678872438,1074082.5424840956,0.325,0.475,1011.8772617255071,1074094.131241896,
100.0,recurrent,20260723,0.5,16,12,0.4166666666666667,0.5,0.6666666666666666,0.16666666666666666,0.25,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.5,759.3166823672373,11944.656376468016,0.3333333333333333,0.5,759.3166823672373,11944.656376468016,
100.0,recurrent,20260723,0.5,17,95,0.5473684210526316,0.6,0.6736842105263158,0.010526315789473684,0.021052631578947368,0.021052631578947368,0.031578947368421054,0.4631578947368421,0.6105263157894737,280.43506338539987,8006.64271782742,0.4631578947368421,0.6105263157894737,279.68188219996034,8006.64271782742,
100.0,recurrent,20260723,0.5,19,19,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.47368421052631576,0.47368421052631576,0.631578947368421,439.33259681688327,3597.0079308935865,0.47368421052631576,0.631578947368421,439.33259681688327,3597.0079308935865,
100.0,recurrent,20260723,0.5,20,33,0.7878787878787878,0.8484848484848485,0.8484848484848485,0.7272727272727273,0.7878787878787878,0.7878787878787878,0.8181818181818182,0.8181818181818182,0.9393939393939394,58.20585083407952,494.3059774591884,0.8181818181818182,0.9393939393939394,58.20585083407952,494.3059774591884,
100.0,recurrent,20260723,0.5,24,24,0.6666666666666666,0.6666666666666666,0.7083333333333334,0.6666666666666666,0.6666666666666666,0.7083333333333334,0.75,0.75,0.9166666666666666,73.8876999075359,592.4055827092028,0.75,0.9166666666666666,73.8876999075359,592.4055827092028,
100.0,recurrent,20260723,0.5,25,166,0.4578313253012048,0.5120481927710844,0.536144578313253,0.3132530120481928,0.35542168674698793,0.37349397590361444,0.37349397590361444,0.37349397590361444,0.463855421686747,1570.8363040258369,260621.75562918483,0.37349397590361444,0.463855421686747,1570.8363040258369,260621.75562918483,
100.0,recurrent,20260723,0.5,26,11,0.5454545454545454,0.5454545454545454,0.7272727272727273,0.5454545454545454,0.5454545454545454,0.7272727272727273,0.8181818181818182,0.8181818181818182,0.9090909090909091,41.49560927740728,803.3975007338955,0.8181818181818182,0.9090909090909091,41.49560927740728,803.3975007338955,
100.0,recurrent,20260723,0.5,28,16,0.4375,0.5625,0.625,0.375,0.5,0.5625,0.625,0.625,0.75,24.176107614373052,19656.447087807854,0.625,0.75,24.176107614373052,19656.447087807854,
100.0,recurrent,20260723,0.5,29,11,0.8181818181818182,0.9090909090909091,0.9090909090909091,0.7272727272727273,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,33.28795689739256,8734.389907119541,0.8181818181818182,0.8181818181818182,33.28795689739256,8734.389907119541,
100.0,recurrent,20260723,0.5,35,19,0.47368421052631576,0.7368421052631579,0.7368421052631579,0.42105263157894735,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.6842105263157895,5.536747478390478,5390.825247384065,0.6842105263157895,0.6842105263157895,5.536747478390478,5390.825247384065,
100.0,recurrent,20260723,0.5,36,18,0.3333333333333333,0.3888888888888889,0.3888888888888889,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.6666666666666666,731.0584615558445,28657.797170932965,0.16666666666666666,0.6666666666666666,731.0584615558445,28657.797170932965,
100.0,recurrent,20260723,0.5,37,37,0.16216216216216217,0.16216216216216217,0.1891891891891892,0.0,0.0,0.02702702702702703,0.02702702702702703,0.10810810810810811,0.24324324324324326,7020.7813690247385,16638.009223773286,0.1891891891891892,0.24324324324324326,7052.397104740257,16706.603692342822,
