analysis,destination_popularity_stratum,prefix_familiarity,ratio,method,user_macro_hit_r90,user_macro_within_200m,user_macro_within_1000m,mean_user_median_error_m,users,user_case_sum
joint_familiarity,popular_modal,analogue_present,0.75,probabilistic_grid_pattern_retrieval,0.8525362073233824,0.8320432467210624,0.9255631087619239,81.73225595804054,34,473
joint_familiarity,popular_modal,analogue_present,0.75,tsmini,0.7486743144138963,0.7353266095127268,0.8328945067855588,477.5809749147121,34,473
joint_familiarity,popular_modal,no_close_analogue,0.25,bigru,0.5364444444444445,0.4964444444444444,0.5953333333333333,103906.84774696468,15,43
joint_familiarity,popular_modal,no_close_analogue,0.25,current_position_only_personal_retrieval,0.2944444444444444,0.2944444444444444,0.3555555555555555,92324.55686335305,15,43
joint_familiarity,popular_modal,no_close_analogue,0.25,geometric_retrieval,0.5122222222222221,0.5122222222222221,0.6288888888888889,74274.01586143118,15,43
joint_familiarity,popular_modal,no_close_analogue,0.25,most_frequent_personal_destination,1.0,0.9333333333333333,1.0,80.64228902346251,15,43
joint_familiarity,popular_modal,no_close_analogue,0.25,probabilistic_grid_pattern_retrieval,0.62,0.62,0.7477777777777778,73776.18011630974,15,43
joint_familiarity,popular_modal,no_close_analogue,0.25,tsmini,0.45955555555555555,0.45955555555555555,0.5482222222222222,96082.64910817535,15,43
joint_familiarity,popular_modal,no_close_analogue,0.5,bigru,0.5563172637476043,0.5092584402181926,0.6445525578652513,91530.74776337892,17,52
joint_familiarity,popular_modal,no_close_analogue,0.5,current_position_only_personal_retrieval,0.39099955771782396,0.33217602830605925,0.479234851835471,134775.5839671913,17,52
joint_familiarity,popular_modal,no_close_analogue,0.5,geometric_retrieval,0.42969924812030075,0.42969924812030075,0.5272224679345422,68631.50059100096,17,52
joint_familiarity,popular_modal,no_close_analogue,0.5,most_frequent_personal_destination,1.0,0.9411764705882353,1.0,76.1980784663321,17,52
joint_familiarity,popular_modal,no_close_analogue,0.5,probabilistic_grid_pattern_retrieval,0.42954444935869085,0.42954444935869085,0.520875718708536,66934.90472244479,17,52
joint_familiarity,popular_modal,no_close_analogue,0.5,tsmini,0.42894441987321247,0.4171797139908595,0.5201724900486511,116781.90415939425,17,52
joint_familiarity,popular_modal,no_close_analogue,0.66,bigru,0.575,0.575,0.68125,69334.53391233289,16,43
joint_familiarity,popular_modal,no_close_analogue,0.66,current_position_only_personal_retrieval,0.47265625,0.47265625,0.53515625,70335.32151051576,16,43
joint_familiarity,popular_modal,no_close_analogue,0.66,geometric_retrieval,0.3671875,0.3671875,0.5,72647.32147743646,16,43
joint_familiarity,popular_modal,no_close_analogue,0.66,most_frequent_personal_destination,1.0,1.0,1.0,59.9812507715348,16,43
joint_familiarity,popular_modal,no_close_analogue,0.66,probabilistic_grid_pattern_retrieval,0.4609375,0.4609375,0.59375,70738.89148133493,16,43
joint_familiarity,popular_modal,no_close_analogue,0.66,tsmini,0.45625,0.45625,0.52265625,145544.2471240761,16,43
joint_familiarity,popular_modal,no_close_analogue,0.75,bigru,0.7504201680672269,0.7504201680672269,0.8327731092436974,1485.0540857746403,17,38
joint_familiarity,popular_modal,no_close_analogue,0.75,current_position_only_personal_retrieval,0.47198879551820727,0.47198879551820727,0.5392156862745098,4172.984155146001,17,38
joint_familiarity,popular_modal,no_close_analogue,0.75,geometric_retrieval,0.5140056022408963,0.5140056022408963,0.6400560224089636,5712.738413647026,17,38
joint_familiarity,popular_modal,no_close_analogue,0.75,most_frequent_personal_destination,1.0,1.0,1.0,57.61213963580183,17,38
joint_familiarity,popular_modal,no_close_analogue,0.75,probabilistic_grid_pattern_retrieval,0.5490196078431373,0.5490196078431373,0.6750700280112045,5048.4995226807805,17,38
joint_familiarity,popular_modal,no_close_analogue,0.75,tsmini,0.5554621848739496,0.5554621848739496,0.6176470588235294,102527.62662653787,17,38
