analysis,requested_k,ambiguity_stratum,ratio,method,user_macro_hit_r90,user_macro_within_200m,user_macro_within_1000m,mean_user_median_error_m,users,user_case_sum
location_ambiguity,10,medium,0.5,geometric_retrieval,0.4361515290641676,0.49980616654319954,0.6526903121427095,1093.0754877343236,35,433
location_ambiguity,10,medium,0.5,most_frequent_personal_destination,0.36051134424435727,0.4037662608623487,0.5087240947364489,2299.4500976223603,35,433
location_ambiguity,10,medium,0.5,probabilistic_grid_pattern_retrieval,0.48741741706561786,0.5434858787031549,0.6629111142658549,892.6924276290085,35,433
location_ambiguity,10,medium,0.5,tsmini,0.43739612107052056,0.48938971753698685,0.6351682871750525,1718.6526147444215,35,433
location_ambiguity,10,medium,0.66,recurrent,0.4014438267363964,0.460968480672815,0.5820013117722096,5571.190811232787,37,395
location_ambiguity,10,medium,0.66,current_position_only_personal_retrieval,0.3748309326482701,0.4615456928924421,0.5639664070856021,5371.259949874159,37,395
location_ambiguity,10,medium,0.66,geometric_retrieval,0.38538546467339035,0.48129874808667383,0.6136886960648571,5010.404095677249,37,395
location_ambiguity,10,medium,0.66,most_frequent_personal_destination,0.2992967087394332,0.33612719409933034,0.4497475349332935,7865.165836350937,37,395
location_ambiguity,10,medium,0.66,probabilistic_grid_pattern_retrieval,0.40076422373635995,0.4672556562572042,0.5834607352641409,5177.296374424255,37,395
location_ambiguity,10,medium,0.66,tsmini,0.3833515037942282,0.46976122082159233,0.5997885339681005,6272.738069055,37,395
location_ambiguity,10,medium,0.75,recurrent,0.4016934318560087,0.46556920367933957,0.5974962985268846,5220.181582878526,35,442
location_ambiguity,10,medium,0.75,current_position_only_personal_retrieval,0.3594211722089225,0.39998584534295006,0.5402245850853044,5290.271777844304,35,442
location_ambiguity,10,medium,0.75,geometric_retrieval,0.34255210629850324,0.4011464848737798,0.5908134703685954,5319.663073960475,35,442
location_ambiguity,10,medium,0.75,most_frequent_personal_destination,0.3130886980809581,0.33164430373629844,0.43369901274890676,36947.47957347334,35,442
location_ambiguity,10,medium,0.75,probabilistic_grid_pattern_retrieval,0.42118385691438504,0.4875920030418726,0.6210326840127889,4889.183648023748,35,442
location_ambiguity,10,medium,0.75,tsmini,0.3624153741345707,0.42124100708807655,0.5883517482112322,6246.194025120635,35,442
location_ambiguity,20,high,0.25,recurrent,0.2623622365718274,0.28136557351969665,0.4071018277824898,61899.2915888136,26,633
location_ambiguity,20,high,0.25,current_position_only_personal_retrieval,0.15482026721162379,0.21217957457093115,0.3758876036321641,53817.53295737863,26,633
location_ambiguity,20,high,0.25,geometric_retrieval,0.2174448822441129,0.28459823773993087,0.3919819114853504,54107.96610299771,26,633
location_ambiguity,20,high,0.25,most_frequent_personal_destination,0.2884517438860021,0.3345608814040025,0.47446727183816545,55467.276272096366,26,633
location_ambiguity,20,high,0.25,probabilistic_grid_pattern_retrieval,0.2758514866579456,0.3509941661571008,0.48936222723637707,52932.79502047076,26,633
location_ambiguity,20,high,0.25,tsmini,0.19445338285149816,0.25333817625471944,0.38498948766215896,55461.80307881519,26,633
location_ambiguity,20,high,0.5,recurrent,0.22137753363274768,0.2870171678702093,0.4052654539742376,92183.62493107228,28,597
location_ambiguity,20,high,0.5,current_position_only_personal_retrieval,0.16591714306723557,0.21150426765172012,0.36001387586326766,92138.68981167758,28,597
location_ambiguity,20,high,0.5,geometric_retrieval,0.19289574572720689,0.24593590367009358,0.3966687471194082,91643.91253077924,28,597
location_ambiguity,20,high,0.5,most_frequent_personal_destination,0.1991167670432617,0.23811701832803012,0.3768532328869568,94556.37226013212,28,597
location_ambiguity,20,high,0.5,probabilistic_grid_pattern_retrieval,0.23126377792573435,0.30296058399314024,0.44315837752368015,90948.72201717066,28,597
location_ambiguity,20,high,0.5,tsmini,0.18290063791223418,0.23467399984106713,0.3789965307678768,92299.30347630396,28,597
location_ambiguity,20,high,0.66,recurrent,0.21502230101302314,0.28398742141390876,0.4032752374110778,12348.490540305254,27,561
location_ambiguity,20,high,0.66,current_position_only_personal_retrieval,0.20317926125843505,0.26870615767524164,0.3882109633980334,11664.672176050863,27,561
location_ambiguity,20,high,0.66,geometric_retrieval,0.19913776908588585,0.28431179893284664,0.4053181005756044,11642.45905123565,27,561
location_ambiguity,20,high,0.66,most_frequent_personal_destination,0.17676305477761287,0.19575821979568994,0.30764657321723654,13258.65165627037,27,561
location_ambiguity,20,high,0.66,probabilistic_grid_pattern_retrieval,0.2266773590733573,0.30481316623503957,0.4234352700566259,11512.778242906954,27,561
location_ambiguity,20,high,0.66,tsmini,0.1884450486038972,0.25926285144282973,0.38159524489628543,12834.948126243227,27,561
location_ambiguity,20,high,0.75,recurrent,0.22118397248003976,0.28876961100031884,0.40591154783176964,4069.8579436531077,27,555
location_ambiguity,20,high,0.75,current_position_only_personal_retrieval,0.21632977726151636,0.31680202363132864,0.41972925267031375,3475.9175303495217,27,555
location_ambiguity,20,high,0.75,geometric_retrieval,0.23968857588782183,0.3232087297212504,0.4536541248022399,4243.370857130379,27,555
location_ambiguity,20,high,0.75,most_frequent_personal_destination,0.1878162467600816,0.2019739847807901,0.32119046295637044,5263.31766938753,27,555
location_ambiguity,20,high,0.75,probabilistic_grid_pattern_retrieval,0.24729197256209973,0.3267617521918974,0.4487943989376019,3641.8234036901285,27,555
location_ambiguity,20,high,0.75,tsmini,0.20108192966098828,0.2821344651256849,0.4196083238980657,4555.645312350317,27,555
location_ambiguity,20,low,0.25,recurrent,0.43924019339164366,0.5164918648012632,0.6030335497585961,1985.4671697095057,26,383
location_ambiguity,20,low,0.25,current_position_only_personal_retrieval,0.41296429847857835,0.47046675174308195,0.5601238964248476,2047.8697408206976,26,383
